bullet_id,manufacturer,name,caliber,weight_grains,bc_g1,bc_g7,length_in,diameter_in,type,source_label,raw_json
1,Hornady,FMJ,.308,125.0,0.0,0.0,0.944,0.307,,component_xml:projectiles_reference.xml,"{""mname"": ""Hornady"", ""pname"": ""FMJ"", ""lotid"": ""30196"", ""caliber"": "".308"", ""gdia"": ""7.8"", ""glen"": ""23.98"", ""gmass"": ""125"", ""gpressure"": ""250"", ""gfriction"": ""0"", ""gtaildiaA"": ""0"", ""gtaildiaB"": ""0"", ""gtailh"": ""0"", ""gtailtype"": ""0"", ""gdepthmax"": ""0"", ""g1bc"": ""0"", ""g7bc"": ""0"", ""gUBCS"": ""T0F1F2C4N1"", ""cdate"": ""2023-11-30"", ""cby"": ""local_user"", ""mdate"": ""2023-11-30"", ""mby"": """", ""type"": """", ""mode"": ""userfile"", ""status"": """", ""origin"": """", ""descr"": """", ""imageUuid"": """", ""source_file"": ""C:\\Users\\bjjoh\\OneDrive\\Dokumenter\\Programering\\Hjemmelading\\data\\projectiles_reference.xml"", ""ProjectileName"": """", ""Dbul"": """", ""mp"": """", ""gdepth"": """", ""gTailDiaA"": """", ""gTailDiaB"": """", ""gTailType"": """", ""gfrictionUnlock"": """", ""load_title"": """", ""gmaterial"": """"}"
2,Norma,EcoStrike,.308,150.0,0.42,0.0,1.28,0.307,,component_xml:projectiles_reference.xml,"{""mname"": ""Norma"", ""pname"": ""EcoStrike"", ""lotid"": ""20676941"", ""caliber"": "".308"", ""gdia"": ""7.81"", ""glen"": ""32.509999999999998"", ""gmass"": ""150"", ""gpressure"": ""250"", ""gfriction"": ""0"", ""gtaildiaA"": ""0"", ""gtaildiaB"": ""0"", ""gtailh"": ""0"", ""gtailtype"": ""0"", ""gdepthmax"": ""0"", ""g1bc"": ""0.42"", ""g7bc"": ""0"", ""gUBCS"": ""H2B1F4?1N2"", ""cdate"": ""2024-11-19"", ""cby"": ""local_user"", ""mdate"": ""2024-11-19"", ""mby"": """", ""type"": """", ""mode"": ""userfile"", ""status"": """", ""origin"": """", ""descr"": """", ""imageUuid"": """", ""source_file"": ""C:\\Users\\bjjoh\\OneDrive\\Dokumenter\\Programering\\Hjemmelading\\data\\projectiles_reference.xml"", ""ProjectileName"": """", ""Dbul"": """", ""mp"": """", ""gdepth"": """", ""gTailDiaA"": """", ""gTailDiaB"": """", ""gTailType"": """", ""gfrictionUnlock"": """", ""load_title"": """", ""gmaterial"": """"}"
3,North Fork,SS,.308,150.0,0.0,0.0,1.114,0.307,,component_xml:projectiles_reference.xml,"{""mname"": ""North Fork"", ""pname"": ""SS"", ""lotid"": ""202301"", ""caliber"": "".308"", ""gdia"": ""7.8"", ""glen"": ""28.300000000000001"", ""gmass"": ""150"", ""gpressure"": ""250"", ""gfriction"": ""0"", ""gtaildiaA"": ""0"", ""gtaildiaB"": ""0"", ""gtailh"": ""0"", ""gtailtype"": ""0"", ""gdepthmax"": ""0"", ""g1bc"": ""0"", ""g7bc"": ""0"", ""gUBCS"": ""H2S2F2?4??"", ""cdate"": ""2023-08-18"", ""cby"": ""local_user"", ""mdate"": """", ""mby"": """", ""type"": """", ""mode"": ""userfile"", ""status"": """", ""origin"": """", ""descr"": """", ""imageUuid"": """", ""source_file"": ""C:\\Users\\bjjoh\\OneDrive\\Dokumenter\\Programering\\Hjemmelading\\data\\projectiles_reference.xml"", ""ProjectileName"": """", ""Dbul"": """", ""mp"": """", ""gdepth"": """", ""gTailDiaA"": """", ""gTailDiaB"": """", ""gTailType"": """", ""gfrictionUnlock"": """", ""load_title"": """", ""gmaterial"": """"}"
4,Hornady,FMJ,.308,125.0,0.0,0.0,0.944,0.307,,component_xml:projectile.xml,"{""mname"": ""Hornady"", ""pname"": ""FMJ"", ""lotid"": ""30196"", ""caliber"": "".308"", ""gdia"": ""7.8"", ""glen"": ""23.98"", ""gmass"": ""125"", ""gpressure"": ""250"", ""gfriction"": ""0"", ""gtaildiaA"": ""0"", ""gtaildiaB"": ""0"", ""gtailh"": ""0"", ""gtailtype"": ""0"", ""gdepthmax"": ""0"", ""g1bc"": ""0"", ""g7bc"": ""0"", ""gUBCS"": ""T0F1F2C4N1"", ""cdate"": ""2023-11-30"", ""cby"": ""local_user"", ""mdate"": ""2023-11-30"", ""mby"": """", ""type"": """", ""mode"": ""userfile"", ""status"": """", ""origin"": """", ""descr"": """", ""imageUuid"": """", ""source_file"": ""C:\\Users\\bjjoh\\AppData\\Roaming\\ReferenceLibrary\\projectile.xml"", ""ProjectileName"": """", ""Dbul"": """", ""mp"": """", ""gdepth"": """", ""gTailDiaA"": """", ""gTailDiaB"": """", ""gTailType"": """", ""gfrictionUnlock"": """", ""load_title"": """", ""gmaterial"": """"}"
5,Norma,EcoStrike,.308,150.0,0.42,0.0,1.28,0.307,,component_xml:projectile.xml,"{""mname"": ""Norma"", ""pname"": ""EcoStrike"", ""lotid"": ""20676941"", ""caliber"": "".308"", ""gdia"": ""7.81"", ""glen"": ""32.509999999999998"", ""gmass"": ""150"", ""gpressure"": ""250"", ""gfriction"": ""0"", ""gtaildiaA"": ""0"", ""gtaildiaB"": ""0"", ""gtailh"": ""0"", ""gtailtype"": ""0"", ""gdepthmax"": ""0"", ""g1bc"": ""0.42"", ""g7bc"": ""0"", ""gUBCS"": ""H2B1F4?1N2"", ""cdate"": ""2024-11-19"", ""cby"": ""local_user"", ""mdate"": ""2024-11-19"", ""mby"": """", ""type"": """", ""mode"": ""userfile"", ""status"": """", ""origin"": """", ""descr"": """", ""imageUuid"": """", ""source_file"": ""C:\\Users\\bjjoh\\AppData\\Roaming\\ReferenceLibrary\\projectile.xml"", ""ProjectileName"": """", ""Dbul"": """", ""mp"": """", ""gdepth"": """", ""gTailDiaA"": """", ""gTailDiaB"": """", ""gTailType"": """", ""gfrictionUnlock"": """", ""load_title"": """", ""gmaterial"": """"}"
6,North Fork,SS,.308,150.0,0.0,0.0,1.114,0.307,,component_xml:projectile.xml,"{""mname"": ""North Fork"", ""pname"": ""SS"", ""lotid"": ""202301"", ""caliber"": "".308"", ""gdia"": ""7.8"", ""glen"": ""28.300000000000001"", ""gmass"": ""150"", ""gpressure"": ""250"", ""gfriction"": ""0"", ""gtaildiaA"": ""0"", ""gtaildiaB"": ""0"", ""gtailh"": ""0"", ""gtailtype"": ""0"", ""gdepthmax"": ""0"", ""g1bc"": ""0"", ""g7bc"": ""0"", ""gUBCS"": ""H2S2F2?4??"", ""cdate"": ""2023-08-18"", ""cby"": ""local_user"", ""mdate"": """", ""mby"": """", ""type"": """", ""mode"": ""userfile"", ""status"": """", ""origin"": """", ""descr"": """", ""imageUuid"": """", ""source_file"": ""C:\\Users\\bjjoh\\AppData\\Roaming\\ReferenceLibrary\\projectile.xml"", ""ProjectileName"": """", ""Dbul"": """", ""mp"": """", ""gdepth"": """", ""gTailDiaA"": """", ""gTailDiaB"": """", ""gTailType"": """", ""gfrictionUnlock"": """", ""load_title"": """", ""gmaterial"": """"}"
7,Hornady,BTHP Natl M #30501,0.308,168.0,0.45,0.0,1.226,0.308,,load_snapshot:30-06_168_hhpbt_imr4166_3.330_oal_2x2_1.load,"{""mname"": ""Hornady"", ""pname"": ""BTHP Natl M #30501"", ""lotid"": ""2019"", ""caliber"": """", ""gdia"": """", ""glen"": ""31.140399999999996"", ""gmass"": """", ""gpressure"": ""250"", ""gfriction"": ""0"", ""gtaildiaA"": """", ""gtaildiaB"": """", ""gtailh"": ""4.17068"", ""gtailtype"": """", ""gdepthmax"": """", ""g1bc"": ""0.45"", ""g7bc"": ""0"", ""gUBCS"": """", ""cdate"": """", ""cby"": """", ""mdate"": """", ""mby"": """", ""type"": """", ""mode"": ""userfile"", ""status"": """", ""origin"": """", ""descr"": """", ""imageUuid"": """", ""source_file"": ""c:\\Users\\bjjoh\\OneDrive\\Dokumenter\\Programering\\Hjemmelading\\reference_data\\doku\\en\\faq\\files\\30-06_168_hhpbt_imr4166_3.330_oal_2x2_1.load"", ""ProjectileName"": ""Hornady, BTHP Natl M #30501, 0.308, 168.00 grain"", ""Dbul"": ""7.823199999999999"", ""mp"": ""10.886216879958685"", ""gdepth"": ""9.90854"", ""gTailDiaA"": ""7.82066"", ""gTailDiaB"": ""6.880859999999999"", ""gTailType"": ""2"", ""gfrictionUnlock"": ""false"", ""load_title"": "".30-06 Spring. HXP 77 (30-06 Springfield, 30-06, 7,62 x 63) Hornady, BTHP Natl M #30501, 0.308, 168.00 grain IMR 4166"", ""gmaterial"": """"}"
8,PPU,PPB30MC150,0.308,150.0,0.4,0.0,1.126,0.309,,load_snapshot:30-06_m2_ball_imr4166_3.330_oal_2x2_1.load,"{""mname"": ""PPU"", ""pname"": ""PPB30MC150"", ""lotid"": ""M2 BALL RESIZED"", ""caliber"": """", ""gdia"": """", ""glen"": ""28.600399999999997"", ""gmass"": """", ""gpressure"": ""250"", ""gfriction"": ""0"", ""gtaildiaA"": """", ""gtaildiaB"": """", ""gtailh"": ""0"", ""gtailtype"": """", ""gdepthmax"": """", ""g1bc"": ""0.4"", ""g7bc"": ""0"", ""gUBCS"": """", ""cdate"": """", ""cby"": """", ""mdate"": """", ""mby"": """", ""type"": """", ""mode"": ""userfile"", ""status"": """", ""origin"": """", ""descr"": """", ""imageUuid"": """", ""source_file"": ""c:\\Users\\bjjoh\\OneDrive\\Dokumenter\\Programering\\Hjemmelading\\reference_data\\doku\\en\\faq\\files\\30-06_m2_ball_imr4166_3.330_oal_2x2_1.load"", ""ProjectileName"": ""PPU, PPB30MC150, 0.308, 150.00 grain"", ""Dbul"": ""7.848599999999999"", ""mp"": ""9.719836499963112"", ""gdepth"": ""7.36854"", ""gTailDiaA"": ""0"", ""gTailDiaB"": ""0"", ""gTailType"": ""0"", ""gfrictionUnlock"": ""false"", ""load_title"": "".30-06 Spring. HXP 77 (30-06 Springfield, 30-06, 7,62 x 63) PPU, PPB30MC150, 0.308, 150.00 grain IMR 4166"", ""gmaterial"": """"}"
9,Hornady,ELD-M #26175,0.264,120.0,0.458,0.0,1.202,0.264,,load_snapshot:6.5_cm_120_heldm_imr4166_2.80_oal_2x2_1.load,"{""mname"": ""Hornady"", ""pname"": ""ELD-M #26175"", ""lotid"": ""2019"", ""caliber"": """", ""gdia"": """", ""glen"": ""30.530799999999996"", ""gmass"": """", ""gpressure"": ""172"", ""gfriction"": ""0"", ""gtaildiaA"": """", ""gtaildiaB"": """", ""gtailh"": ""3.56108"", ""gtailtype"": """", ""gdepthmax"": """", ""g1bc"": ""0.458"", ""g7bc"": ""0"", ""gUBCS"": """", ""cdate"": """", ""cby"": """", ""mdate"": """", ""mby"": """", ""type"": """", ""mode"": ""userfile"", ""status"": """", ""origin"": """", ""descr"": """", ""imageUuid"": """", ""source_file"": ""c:\\Users\\bjjoh\\OneDrive\\Dokumenter\\Programering\\Hjemmelading\\reference_data\\doku\\en\\faq\\files\\6.5_cm_120_heldm_imr4166_2.80_oal_2x2_1.load"", ""ProjectileName"": ""Hornady, ELD-M #26175, 0.264, 120.00 grain"", ""Dbul"": ""6.7056"", ""mp"": ""7.775869199970489"", ""gdepth"": ""8.181340000000009"", ""gTailDiaA"": ""6.700519999999999"", ""gTailDiaB"": ""5.08"", ""gTailType"": ""2"", ""gfrictionUnlock"": ""false"", ""load_title"": ""6.5 Creedmoor Starline LR Hornady, ELD-M #26175, 0.264, 120.00 grain IMR 4166"", ""gmaterial"": """"}"
10,Hornady,BTHP 26335,0.264,140.0,0.58,0.0,1.332,0.264,,load_snapshot:6.5_cm_140_hhpbt_imr4166_2.825_oal_2x2_1.load,"{""mname"": ""Hornady"", ""pname"": ""BTHP 26335"", ""lotid"": ""2019"", ""caliber"": """", ""gdia"": """", ""glen"": ""33.832799999999999"", ""gmass"": """", ""gpressure"": ""250"", ""gfriction"": ""0"", ""gtaildiaA"": """", ""gtaildiaB"": """", ""gtailh"": ""3.79984"", ""gtailtype"": """", ""gdepthmax"": """", ""g1bc"": ""0.58"", ""g7bc"": ""0"", ""gUBCS"": """", ""cdate"": """", ""cby"": """", ""mdate"": """", ""mby"": """", ""type"": """", ""mode"": ""0"", ""status"": """", ""origin"": """", ""descr"": """", ""imageUuid"": """", ""source_file"": ""c:\\Users\\bjjoh\\OneDrive\\Dokumenter\\Programering\\Hjemmelading\\reference_data\\doku\\en\\faq\\files\\6.5_cm_140_hhpbt_imr4166_2.825_oal_2x2_1.load"", ""ProjectileName"": ""Hornady, BTHP 26335, 0.264, 140.00 grain"", ""Dbul"": ""6.7056"", ""mp"": ""9.07184739996557"", ""gdepth"": ""10.843259999999994"", ""gTailDiaA"": ""6.700519999999999"", ""gTailDiaB"": ""5.10032"", ""gTailType"": ""2"", ""gfrictionUnlock"": ""false"", ""load_title"": ""6.5 Creedmoor Starline LP Hornady, BTHP 26335, 0.264, 140.00 grain IMR 4166"", ""gmaterial"": """"}"
