caliber_id,name,oal_mm,case_length_mm,case_capacity_ml,max_pressure_bar,bullet_diameter_mm,standard,source_label,raw_json
1,".30-06 Spring. HXP 77 (30-06 Springfield, 30-06, 7,62 x 63)",84.582,63.35,4.613,4049.98,7.823,Piezo CIP,load_snapshot:30-06_168_hhpbt_imr4166_3.330_oal_2x2_1.load,"{""Aeff"": ""47.548291999999996"", ""CaliberName"": "".30-06 Spring. HXP 77 (30-06 Springfield, 30-06, 7,62 x 63)"", ""Dz"": ""7.823199999999999"", ""caselen"": ""63.350139999999996"", ""casevol"": ""4.613230537146889"", ""method"": ""Piezo CIP"", ""oal"": ""84.581999999999994"", ""pMaxZul"": ""4049.980434006794"", ""ps"": ""250.00389945026618"", ""sebert"": ""0.55"", ""shotshell"": ""false""}"
2,.30-06 Spring. HXP 77,84.84,63.35,70.7,4050.0,7.85,User Meas.,load_snapshot:30-06_168_hhpbt_imr4166_3.330_oal_2x2_1.load,"{""E"": ""3.16"", ""E1"": ""10.39"", ""EE"": ""4335.00"", ""Emin"": ""0.84"", ""FG"": ""0.00"", ""G1"": ""7.85"", ""G2"": ""0.00"", ""H1"": ""8.63"", ""H2"": ""8.63"", ""L0"": ""0.00"", ""L1"": ""49.49"", ""L2"": ""53.56"", ""L3"": ""63.35"", ""L3G"": ""69.54"", ""L4"": ""0.00"", ""L5"": ""0.00"", ""L6"": ""84.84"", ""M"": ""25"", ""P0"": ""0.00"", ""P1"": ""11.96"", ""P2"": ""11.20"", ""PE"": ""5060.00"", ""PK"": ""4658.00"", ""Pmax"": ""4050.00"", ""R"": ""1.24"", ""R1"": ""12.01"", ""R3"": ""0.00"", ""S"": ""67.25"", ""V"": ""70.70"", ""alpha"": ""35.00"", ""altname"": ""30-06 Springfield, 30-06, 7,62 x 63"", ""beta"": ""35.00"", ""c_E"": ""3.16"", ""c_F"": ""7.62"", ""c_Fe"": ""0.10"", ""c_Fe_auto"": ""0.00"", ""c_Fe_proof"": ""0.00"", ""c_G"": ""6.19"", ""c_G1"": ""7.89"", ""c_H1"": ""8.70"", ""c_H2"": ""8.65"", ""c_L0"": ""0.00"", ""c_L1"": ""49.27"", ""c_L2"": ""53.36"", ""c_L3"": ""63.55"", ""c_N"": ""4.00"", ""c_P0"": ""0.00"", ""c_P1"": ""11.99"", ""c_P2"": ""11.24"", ""c_Q"": ""47.55"", ""c_R"": ""0.00"", ""c_R1"": ""12.04"", ""c_R2"": ""0.00"", ""c_R3"": ""0.00"", ""c_S"": ""67.37"", ""c_Z"": ""7.82"", ""c_alpha"": ""34.50"", ""c_alpha1"": ""71.42"", ""c_b_"": ""4.49"", ""c_delta"": ""0.00"", ""c_h_"": ""0.53"", ""c_i_"": ""1.37"", ""c_r1max"": ""1.27"", ""c_r2_"": ""3.05"", ""c_r_"": ""0.00"", ""c_s_"": ""0.00"", ""c_u_"": ""254.00"", ""c_w_"": ""0.00"", ""cby"": ""local_user"", ""cdate"": ""2020-12-27"", ""cipdate"": ""1984-06-14"", ""cipname"": "".30-06 Spring. HXP 77"", ""ciporigin"": ""US"", ""cippdf"": ""https://bobp.cip-bobp.org/uploads/tdcc/tab-i/tabical-en-page111.pdf"", ""ciprevdate"": ""2008-09-23"", ""ciptype"": ""1 rimless"", ""delta"": ""36.00"", ""descr"": """", ""f"": ""0.38"", ""mby"": ""local_user"", ""mdate"": """", ""mode"": ""userfile"", ""origin"": ""cip-bobp.org"", ""r1min"": ""1.27"", ""r2"": ""2.54"", ""sebert"": ""0.55"", ""standard"": ""User Meas."", ""status"": """", ""type"": """"}"
3,6.5 Creedmoor Starline LR,71.12,48.771,3.472,4349.971,6.706,Piezo CIP,load_snapshot:6.5_cm_120_heldm_imr4166_2.80_oal_2x2_1.load,"{""Aeff"": ""34.645091999999998"", ""CaliberName"": ""6.5 Creedmoor Starline LR"", ""Dz"": ""6.7056"", ""caselen"": ""48.770539999999997"", ""casevol"": ""3.47242180333027"", ""method"": ""Piezo CIP"", ""oal"": ""71.11999999999999"", ""pMaxZul"": ""4349.9713238325276"", ""ps"": ""250.00389945026618"", ""sebert"": ""0.5"", ""shotshell"": ""false""}"
4,6.5 Creedmoor,71.76,48.77,53.8,4350.0,6.72,CIP,load_snapshot:6.5_cm_120_heldm_imr4166_2.80_oal_2x2_1.load,"{""E"": ""3.84"", ""E1"": ""10.39"", ""EE"": ""3400.00"", ""Emin"": ""1.40"", ""FG"": ""0.00"", ""G1"": ""6.72"", ""G2"": ""0.00"", ""H1"": ""7.49"", ""H2"": ""7.49"", ""L0"": ""0.00"", ""L1"": ""37.84"", ""L2"": ""41.52"", ""L3"": ""48.77"", ""L3G"": ""58.42"", ""L4"": ""0.00"", ""L5"": ""0.00"", ""L6"": ""71.76"", ""M"": ""25"", ""P0"": ""0.00"", ""P1"": ""11.95"", ""P2"": ""11.74"", ""PE"": ""5438.00"", ""PK"": ""5003.00"", ""Pmax"": ""4350.00"", ""R"": ""1.37"", ""R1"": ""12.01"", ""R3"": ""0.00"", ""S"": ""48.01"", ""V"": ""53.80"", ""alpha"": ""60.00"", ""altname"": """", ""beta"": ""35.00"", ""c_E"": ""3.84"", ""c_F"": ""6.50"", ""c_Fe"": ""0.10"", ""c_Fe_auto"": ""0.00"", ""c_Fe_proof"": ""0.00"", ""c_G"": ""9.65"", ""c_G1"": ""6.72"", ""c_H1"": ""7.54"", ""c_H2"": ""7.52"", ""c_L0"": ""0.00"", ""c_L1"": ""37.76"", ""c_L2"": ""41.42"", ""c_L3"": ""48.90"", ""c_N"": ""6.00"", ""c_P0"": ""0.00"", ""c_P1"": ""11.98"", ""c_P2"": ""11.76"", ""c_Q"": ""34.66"", ""c_R"": ""0.00"", ""c_R1"": ""12.01"", ""c_R2"": ""0.00"", ""c_R3"": ""0.00"", ""c_S"": ""47.95"", ""c_Z"": ""6.71"", ""c_alpha"": ""60.00"", ""c_alpha1"": ""90.00"", ""c_b_"": ""2.29"", ""c_delta"": ""0.00"", ""c_h_"": ""0.40"", ""c_i_"": ""1.50"", ""c_r1max"": ""0.76"", ""c_r2_"": ""3.18"", ""c_r_"": ""0.00"", ""c_s_"": ""5.45"", ""c_u_"": ""203.00"", ""c_w_"": ""0.00"", ""cby"": ""REFERENCE"", ""cdate"": ""2020-12-25"", ""cipdate"": ""2012-05-30"", ""cipname"": ""6.5 Creedmoor"", ""ciporigin"": ""US"", ""cippdf"": ""https://bobp.cip-bobp.org/uploads/tdcc/tab-i/6-5-creedmoor-en.pdf"", ""ciprevdate"": ""1900-01-01"", ""ciptype"": ""1 rimless"", ""delta"": ""36.00"", ""descr"": """", ""f"": ""0.38"", ""mby"": """", ""mdate"": """", ""mode"": """", ""origin"": ""cip-bobp.org"", ""r1min"": ""0.76"", ""r2"": ""3.18"", ""sebert"": ""0.50"", ""standard"": ""CIP"", ""status"": """", ""type"": """"}"
5,6.5 Creedmoor Starline LP,71.76,48.771,3.472,4349.971,6.706,Piezo CIP,load_snapshot:6.5_cm_140_hhpbt_imr4166_2.825_oal_2x2_1.load,"{""Aeff"": ""34.645091999999998"", ""CaliberName"": ""6.5 Creedmoor Starline LP"", ""Dz"": ""6.7056"", ""caselen"": ""48.770539999999997"", ""casevol"": ""3.47242180333027"", ""method"": ""Piezo CIP"", ""oal"": ""71.760080000000002"", ""pMaxZul"": ""4349.9713238325276"", ""ps"": ""250.00389945026618"", ""sebert"": ""0.5"", ""shotshell"": ""false""}"
6,6.5 Creedmoor,69.85,48.77,3.399,4350.0,6.706,Piezo CIP,load_snapshot:powder-measure-template.load,"{""Aeff"": ""34.659999999999997"", ""CaliberName"": ""6.5 Creedmoor"", ""Dz"": ""6.7056"", ""caselen"": ""48.770000000000003"", ""casevol"": ""3.399051634336941"", ""method"": ""Piezo CIP"", ""oal"": ""69.849999999999994"", ""pMaxZul"": ""4350"", ""ps"": ""250.00389945026618"", ""sebert"": ""0.5"", ""shotshell"": ""false""}"
7,".308 Win. (308 Winchester, 7,62 x 51)",71.8,51.1,3.591,4150.0,7.82,Piezo CIP,load_snapshot:POWDER-MEASURE-TEMPLATE Barens match.load,"{""Aeff"": ""47.509999999999998"", ""CaliberName"": "".308 Win. (308 Winchester, 7,62 x 51)"", ""Dz"": ""7.82"", ""caselen"": ""51.100000000000001"", ""casevol"": ""3.590593225956693"", ""method"": ""Piezo CIP"", ""oal"": ""71.799999999999997"", ""pMaxZul"": ""4150"", ""ps"": ""250"", ""sebert"": ""0.5"", ""shotshell"": ""false""}"
8,.308 Win.,71.12,51.18,56.3,4150.0,7.85,CIP,load_snapshot:POWDER-MEASURE-TEMPLATE Barens match.load,"{""E"": ""3.85"", ""E1"": ""10.39"", ""EE"": ""3920.00"", ""Emin"": ""1.40"", ""FG"": ""0.00"", ""G1"": ""7.85"", ""G2"": ""0.00"", ""H1"": ""8.72"", ""H2"": ""8.72"", ""L0"": ""0.00"", ""L1"": ""39.62"", ""L2"": ""43.48"", ""L3"": ""51.18"", ""L3G"": ""58.16"", ""L4"": ""0.00"", ""L5"": ""0.00"", ""L6"": ""71.12"", ""M"": ""25.00"", ""P0"": ""0.00"", ""P1"": ""11.96"", ""P2"": ""11.53"", ""PE"": ""5190.00"", ""PK"": ""4773.00"", ""Pmax"": ""4150.00"", ""R"": ""1.37"", ""R1"": ""12.01"", ""R3"": ""0.00"", ""S"": ""55.46"", ""V"": ""56.30"", ""alpha"": ""40.00"", ""altname"": ""308 Winchester, 7,62 x 51"", ""beta"": ""35.00"", ""c_E"": ""3.85"", ""c_F"": ""7.62"", ""c_Fe"": ""0.10"", ""c_Fe_auto"": ""0.00"", ""c_Fe_proof"": ""0.00"", ""c_G"": ""6.98"", ""c_G1"": ""7.87"", ""c_H1"": ""8.79"", ""c_H2"": ""8.74"", ""c_L0"": ""0.00"", ""c_L1"": ""39.48"", ""c_L2"": ""43.28"", ""c_L3"": ""51.44"", ""c_N"": ""4.00"", ""c_P0"": ""0.00"", ""c_P1"": ""11.99"", ""c_P2"": ""11.56"", ""c_Q"": ""47.51"", ""c_R"": ""0.00"", ""c_R1"": ""12.03"", ""c_R2"": ""0.00"", ""c_R3"": ""0.00"", ""c_S"": ""55.36"", ""c_Z"": ""7.82"", ""c_alpha"": ""40.00"", ""c_alpha1"": ""71.42"", ""c_b_"": ""4.47"", ""c_delta"": ""0.00"", ""c_h_"": ""0.60"", ""c_i_"": ""1.75"", ""c_r1max"": ""0.76"", ""c_r2_"": ""3.68"", ""c_r_"": ""0.00"", ""c_s_"": ""2.89"", ""c_u_"": ""305.00"", ""c_w_"": ""0.00"", ""cby"": ""REFERENCE"", ""cdate"": ""2021-10-08"", ""cipdate"": ""1984-06-14"", ""cipname"": "".308 Win."", ""ciporigin"": ""US"", ""cippdf"": ""https://bobp.cip-bobp.org/uploads/tdcc/tab-i/tabical-en-page125.pdf"", ""ciprevdate"": ""2008-09-23"", ""ciptype"": ""1 rimless"", ""delta"": ""36.00"", ""descr"": """", ""f"": ""0.38"", ""mby"": """", ""mdate"": """", ""mode"": """", ""origin"": ""cip-bobp.org"", ""r1min"": ""0.76"", ""r2"": ""3.18"", ""sebert"": ""0.50"", ""standard"": ""CIP"", ""status"": """", ""type"": """"}"


