measurement_id,load_id,source_id,measurement_title,charge_name,charge_value_kg,shot_index,velocity_mps,pressure_bar,raw_json
1,1,4,Measurement MagnetoSpeed/PTII,168.00 grain,0.003175146589988,1,814.7304000000058,3614.8908349318885,"{""pressure"": 3614.8908349318885, ""velocity"": 814.7304000000058}"
2,1,4,Measurement MagnetoSpeed/PTII,168.00 grain,0.003175146589988,2,815.3400000000058,3500.0580821472554,"{""pressure"": 3500.0580821472554, ""velocity"": 815.3400000000058}"
3,1,4,Measurement MagnetoSpeed/PTII,168.00 grain,0.003175146589988,3,818.6928000000058,3560.0327309411027,"{""pressure"": 3560.0327309411027, ""velocity"": 818.6928000000058}"
4,1,4,Measurement MagnetoSpeed/PTII,168.00 grain,0.003175146589988,4,815.6448000000058,3452.8275743475133,"{""pressure"": 3452.8275743475133, ""velocity"": 815.6448000000058}"
5,1,4,Measurement MagnetoSpeed/PTII,168.00 grain,0.003175146589988,5,816.8640000000058,3565.6759827534934,"{""pressure"": 3565.6759827534934, ""velocity"": 816.8640000000058}"
6,1,4,Measurement MagnetoSpeed/PTII,168.00 grain,0.003434342229987,1,886.3584000000063,4024.0980313676073,"{""pressure"": 4024.0980313676073, ""velocity"": 886.3584000000063}"
7,1,4,Measurement MagnetoSpeed/PTII,168.00 grain,0.003434342229987,2,886.3584000000063,3931.4330306260545,"{""pressure"": 3931.4330306260545, ""velocity"": 886.3584000000063}"
8,1,4,Measurement MagnetoSpeed/PTII,168.00 grain,0.003434342229987,3,890.6256000000063,4003.610746314165,"{""pressure"": 4003.610746314165, ""velocity"": 890.6256000000063}"
9,1,4,Measurement MagnetoSpeed/PTII,168.00 grain,0.003434342229987,4,893.9784000000063,4134.198597609496,"{""pressure"": 4134.198597609496, ""velocity"": 893.9784000000063}"
10,1,4,Measurement MagnetoSpeed/PTII,168.00 grain,0.003434342229987,5,889.4064000000063,3925.2937540275334,"{""pressure"": 3925.2937540275334, ""velocity"": 889.4064000000063}"
11,2,5,Measurement MagnetoSpeed/PTII,150.00 grain,0.003304744409987,1,862.2792000000062,3517.7846038419725,"{""pressure"": 3517.7846038419725, ""velocity"": 862.2792000000062}"
12,2,5,Measurement MagnetoSpeed/PTII,150.00 grain,0.003304744409987,2,862.2792000000062,3337.7411514045143,"{""pressure"": 3337.7411514045143, ""velocity"": 862.2792000000062}"
13,2,5,Measurement MagnetoSpeed/PTII,150.00 grain,0.003304744409987,3,858.0120000000061,3463.7632741444045,"{""pressure"": 3463.7632741444045, ""velocity"": 858.0120000000061}"
14,2,5,Measurement MagnetoSpeed/PTII,150.00 grain,0.003304744409987,4,851.3064000000061,3452.6767315624065,"{""pressure"": 3452.6767315624065, ""velocity"": 851.3064000000061}"
15,2,5,Measurement MagnetoSpeed/PTII,150.00 grain,0.003304744409987,5,857.4024000000061,3502.832872331387,"{""pressure"": 3502.832872331387, ""velocity"": 857.4024000000061}"
16,2,5,Measurement MagnetoSpeed/PTII,150.00 grain,0.003563940049986,1,919.5816000000066,3988.226121137305,"{""pressure"": 3988.226121137305, ""velocity"": 919.5816000000066}"
17,2,5,Measurement MagnetoSpeed/PTII,150.00 grain,0.003563940049986,2,918.9720000000066,3934.311807640687,"{""pressure"": 3934.311807640687, ""velocity"": 918.9720000000066}"
18,2,5,Measurement MagnetoSpeed/PTII,150.00 grain,0.003563940049986,3,921.1056000000066,3902.839227099569,"{""pressure"": 3902.839227099569, ""velocity"": 921.1056000000066}"
19,2,5,Measurement MagnetoSpeed/PTII,150.00 grain,0.003563940049986,4,927.8112000000066,3894.997967866767,"{""pressure"": 3894.997967866767, ""velocity"": 927.8112000000066}"
20,2,5,Measurement MagnetoSpeed/PTII,150.00 grain,0.003563940049986,5,925.0680000000066,3963.7619245254677,"{""pressure"": 3963.7619245254677, ""velocity"": 925.0680000000066}"
21,3,6,Measurement MagnetoSpeed,Charge 1,0.00252715748999,1,872.6424000000062,0.0,"{""pressure"": 0.0, ""velocity"": 872.6424000000062}"
22,3,6,Measurement MagnetoSpeed,Charge 1,0.00252715748999,2,876.6048000000062,0.0,"{""pressure"": 0.0, ""velocity"": 876.6048000000062}"
23,3,6,Measurement MagnetoSpeed,Charge 1,0.00252715748999,3,870.2040000000062,0.0,"{""pressure"": 0.0, ""velocity"": 870.2040000000062}"
24,3,6,Measurement MagnetoSpeed,Charge 1,0.00252715748999,4,871.1184000000062,0.0,"{""pressure"": 0.0, ""velocity"": 871.1184000000062}"
25,3,6,Measurement MagnetoSpeed,Charge 1,0.00252715748999,5,868.6800000000062,0.0,"{""pressure"": 0.0, ""velocity"": 868.6800000000062}"
26,3,6,Measurement MagnetoSpeed,Charge 2,0.00265675530999,1,910.1328000000065,0.0,"{""pressure"": 0.0, ""velocity"": 910.1328000000065}"
27,3,6,Measurement MagnetoSpeed,Charge 2,0.00265675530999,2,916.8384000000066,0.0,"{""pressure"": 0.0, ""velocity"": 916.8384000000066}"
28,3,6,Measurement MagnetoSpeed,Charge 2,0.00265675530999,3,913.7904000000066,0.0,"{""pressure"": 0.0, ""velocity"": 913.7904000000066}"
29,3,6,Measurement MagnetoSpeed,Charge 2,0.00265675530999,4,903.4272000000065,0.0,"{""pressure"": 0.0, ""velocity"": 903.4272000000065}"
30,3,6,Measurement MagnetoSpeed,Charge 2,0.00265675530999,5,909.8280000000065,0.0,"{""pressure"": 0.0, ""velocity"": 909.8280000000065}"
31,4,7,Measurement MagnetoSpeed,Charge 1,0.002384599887991,1,777.8496000000056,0.0,"{""pressure"": 0.0, ""velocity"": 777.8496000000056}"
32,4,7,Measurement MagnetoSpeed,Charge 1,0.002384599887991,2,785.4696000000056,0.0,"{""pressure"": 0.0, ""velocity"": 785.4696000000056}"
33,4,7,Measurement MagnetoSpeed,Charge 1,0.002384599887991,3,786.6888000000056,0.0,"{""pressure"": 0.0, ""velocity"": 786.6888000000056}"
34,4,7,Measurement MagnetoSpeed,Charge 1,0.002384599887991,4,790.6512000000057,0.0,"{""pressure"": 0.0, ""velocity"": 790.6512000000057}"
35,4,7,Measurement MagnetoSpeed,Charge 1,0.002384599887991,5,789.7368000000056,0.0,"{""pressure"": 0.0, ""velocity"": 789.7368000000056}"
36,4,7,Measurement MagnetoSpeed,Charge 2,0.00251419770799,1,830.580000000006,0.0,"{""pressure"": 0.0, ""velocity"": 830.580000000006}"
37,4,7,Measurement MagnetoSpeed,Charge 2,0.00251419770799,2,835.152000000006,0.0,"{""pressure"": 0.0, ""velocity"": 835.152000000006}"
38,4,7,Measurement MagnetoSpeed,Charge 2,0.00251419770799,3,832.104000000006,0.0,"{""pressure"": 0.0, ""velocity"": 832.104000000006}"
39,4,7,Measurement MagnetoSpeed,Charge 2,0.00251419770799,4,831.799200000006,0.0,"{""pressure"": 0.0, ""velocity"": 831.799200000006}"
40,4,7,Measurement MagnetoSpeed,Charge 2,0.00251419770799,5,830.275200000006,0.0,"{""pressure"": 0.0, ""velocity"": 830.275200000006}"
41,5,8,MEASUREMENTS,Charge 1,0.002462358579991,1,844.6008000000061,0.0,"{""pressure"": 0.0, ""velocity"": 844.6008000000061}"
42,5,8,MEASUREMENTS,Charge 1,0.002462358579991,2,850.0872000000061,0.0,"{""pressure"": 0.0, ""velocity"": 850.0872000000061}"
43,5,8,MEASUREMENTS,Charge 1,0.002462358579991,3,847.9536000000061,0.0,"{""pressure"": 0.0, ""velocity"": 847.9536000000061}"
44,5,8,MEASUREMENTS,Charge 1,0.002462358579991,4,850.3920000000061,0.0,"{""pressure"": 0.0, ""velocity"": 850.3920000000061}"
45,5,8,MEASUREMENTS,Charge 2,0.00265675530999,1,906.4752000000065,0.0,"{""pressure"": 0.0, ""velocity"": 906.4752000000065}"
46,5,8,MEASUREMENTS,Charge 2,0.00265675530999,2,906.1704000000065,0.0,"{""pressure"": 0.0, ""velocity"": 906.1704000000065}"
47,5,8,MEASUREMENTS,Charge 2,0.00265675530999,3,908.9136000000065,0.0,"{""pressure"": 0.0, ""velocity"": 908.9136000000065}"
48,5,8,MEASUREMENTS,Charge 2,0.00265675530999,4,907.6944000000065,0.0,"{""pressure"": 0.0, ""velocity"": 907.6944000000065}"
49,5,8,MEASUREMENTS,Charge 2,0.00265675530999,5,908.3040000000065,0.0,"{""pressure"": 0.0, ""velocity"": 908.3040000000065}"
50,8,11,MEASUREMENTS,Charge 1,0.002462358579991,1,844.6008000000061,0.0,"{""pressure"": 0.0, ""velocity"": 844.6008000000061}"
51,8,11,MEASUREMENTS,Charge 1,0.002462358579991,2,850.0872000000061,0.0,"{""pressure"": 0.0, ""velocity"": 850.0872000000061}"
52,8,11,MEASUREMENTS,Charge 1,0.002462358579991,3,847.9536000000061,0.0,"{""pressure"": 0.0, ""velocity"": 847.9536000000061}"
53,8,11,MEASUREMENTS,Charge 1,0.002462358579991,4,850.3920000000061,0.0,"{""pressure"": 0.0, ""velocity"": 850.3920000000061}"
54,8,11,MEASUREMENTS,Charge 2,0.00265675530999,1,906.4752000000065,0.0,"{""pressure"": 0.0, ""velocity"": 906.4752000000065}"
55,8,11,MEASUREMENTS,Charge 2,0.00265675530999,2,906.1704000000065,0.0,"{""pressure"": 0.0, ""velocity"": 906.1704000000065}"
56,8,11,MEASUREMENTS,Charge 2,0.00265675530999,3,908.9136000000065,0.0,"{""pressure"": 0.0, ""velocity"": 908.9136000000065}"
57,8,11,MEASUREMENTS,Charge 2,0.00265675530999,4,907.6944000000065,0.0,"{""pressure"": 0.0, ""velocity"": 907.6944000000065}"
58,8,11,MEASUREMENTS,Charge 2,0.00265675530999,5,908.3040000000065,0.0,"{""pressure"": 0.0, ""velocity"": 908.3040000000065}"
