raw_id,source_id,record_type,record_index,load_title,record_json
1,3,projectilefile,1,,"{""caliber"": "".308"", ""cby"": ""local_user"", ""cdate"": ""2023-11-30"", ""descr"": """", ""g1bc"": ""0"", ""g7bc"": ""0"", ""gUBCS"": ""T0F1F2C4N1"", ""gdepthmax"": ""0"", ""gdia"": ""7.8"", ""gfriction"": ""0"", ""glen"": ""23.98"", ""gmass"": ""125"", ""gpressure"": ""250"", ""gtaildiaA"": ""0"", ""gtaildiaB"": ""0"", ""gtailh"": ""0"", ""gtailtype"": ""0"", ""imageUuid"": """", ""lotid"": ""30196"", ""mby"": """", ""mdate"": ""2023-11-30"", ""mname"": ""Hornady"", ""mode"": ""userfile"", ""origin"": """", ""pname"": ""FMJ"", ""status"": """", ""type"": """"}"
2,3,projectilefile,2,,"{""caliber"": "".308"", ""cby"": ""local_user"", ""cdate"": ""2024-11-19"", ""descr"": """", ""g1bc"": ""0.42"", ""g7bc"": ""0"", ""gUBCS"": ""H2B1F4?1N2"", ""gdepthmax"": ""0"", ""gdia"": ""7.81"", ""gfriction"": ""0"", ""glen"": ""32.509999999999998"", ""gmass"": ""150"", ""gpressure"": ""250"", ""gtaildiaA"": ""0"", ""gtaildiaB"": ""0"", ""gtailh"": ""0"", ""gtailtype"": ""0"", ""imageUuid"": """", ""lotid"": ""20676941"", ""mby"": """", ""mdate"": ""2024-11-19"", ""mname"": ""Norma"", ""mode"": ""userfile"", ""origin"": """", ""pname"": ""EcoStrike"", ""status"": """", ""type"": """"}"
3,3,projectilefile,3,,"{""caliber"": "".308"", ""cby"": ""local_user"", ""cdate"": ""2023-08-18"", ""descr"": """", ""g1bc"": ""0"", ""g7bc"": ""0"", ""gUBCS"": ""H2S2F2?4??"", ""gdepthmax"": ""0"", ""gdia"": ""7.8"", ""gfriction"": ""0"", ""glen"": ""28.300000000000001"", ""gmass"": ""150"", ""gpressure"": ""250"", ""gtaildiaA"": ""0"", ""gtaildiaB"": ""0"", ""gtailh"": ""0"", ""gtailtype"": ""0"", ""imageUuid"": """", ""lotid"": ""202301"", ""mby"": """", ""mdate"": """", ""mname"": ""North Fork"", ""mode"": ""userfile"", ""origin"": """", ""pname"": ""SS"", ""status"": """", ""type"": """"}"
4,4,projectile,1,".30-06 Spring. HXP 77 (30-06 Springfield, 30-06, 7,62 x 63) Hornady, BTHP Natl M #30501, 0.308, 168.00 grain IMR 4166","{""Dbul"": ""7.823199999999999"", ""ProjectileName"": ""Hornady, BTHP Natl M #30501, 0.308, 168.00 grain"", ""g1bc"": ""0.45"", ""g7bc"": ""0"", ""gTailDiaA"": ""7.82066"", ""gTailDiaB"": ""6.880859999999999"", ""gTailType"": ""2"", ""gUBCS"": """", ""gdepth"": ""9.90854"", ""gfriction"": ""0"", ""gfrictionUnlock"": ""false"", ""glen"": ""31.140399999999996"", ""gpressure"": ""250"", ""gtailh"": ""4.17068"", ""lotid"": ""2019"", ""mname"": ""Hornady"", ""mode"": ""userfile"", ""mp"": ""10.886216879958685"", ""pname"": ""BTHP Natl M #30501""}"
5,4,propellant,1,".30-06 Spring. HXP 77 (30-06 Springfield, 30-06, 7,62 x 63) Hornady, BTHP Natl M #30501, 0.308, 168.00 grain IMR 4166","{""Ba"": ""0.602"", ""Qex"": ""3860"", ""a0"": ""1.0792"", ""eta"": ""1"", ""imageUuid"": ""8b924457b20bbd8fa1a670f9974fca5a"", ""k"": ""1.2333"", ""laddercnt"": ""2"", ""laddermc"": ""0.259195639999016"", ""lotid"": ""2020-03-02"", ""mc"": ""3.434342229986966"", ""mname"": ""IMR"", ""pc"": ""1550"", ""pcd"": ""900"", ""pname"": ""4166"", ""pt"": ""12.777777777777777"", ""tcc"": ""0"", ""tch"": ""0"", ""z1"": ""0.2945"", ""z2"": ""0.7945""}"
6,4,caliber,1,".30-06 Spring. HXP 77 (30-06 Springfield, 30-06, 7,62 x 63) Hornady, BTHP Natl M #30501, 0.308, 168.00 grain IMR 4166","{""Aeff"": ""47.548291999999996"", ""CaliberName"": "".30-06 Spring. HXP 77 (30-06 Springfield, 30-06, 7,62 x 63)"", ""Dz"": ""7.823199999999999"", ""caselen"": ""63.350139999999996"", ""casevol"": ""4.613230537146889"", ""method"": ""Piezo CIP"", ""oal"": ""84.581999999999994"", ""pMaxZul"": ""4049.980434006794"", ""ps"": ""250.00389945026618"", ""sebert"": ""0.55"", ""shotshell"": ""false""}"
7,4,caliberfile,1,".30-06 Spring. HXP 77 (30-06 Springfield, 30-06, 7,62 x 63) Hornady, BTHP Natl M #30501, 0.308, 168.00 grain IMR 4166","{""E"": ""3.16"", ""E1"": ""10.39"", ""EE"": ""4335.00"", ""Emin"": ""0.84"", ""FG"": ""0.00"", ""G1"": ""7.85"", ""G2"": ""0.00"", ""H1"": ""8.63"", ""H2"": ""8.63"", ""L0"": ""0.00"", ""L1"": ""49.49"", ""L2"": ""53.56"", ""L3"": ""63.35"", ""L3G"": ""69.54"", ""L4"": ""0.00"", ""L5"": ""0.00"", ""L6"": ""84.84"", ""M"": ""25"", ""P0"": ""0.00"", ""P1"": ""11.96"", ""P2"": ""11.20"", ""PE"": ""5060.00"", ""PK"": ""4658.00"", ""Pmax"": ""4050.00"", ""R"": ""1.24"", ""R1"": ""12.01"", ""R3"": ""0.00"", ""S"": ""67.25"", ""V"": ""70.70"", ""alpha"": ""35.00"", ""altname"": ""30-06 Springfield, 30-06, 7,62 x 63"", ""beta"": ""35.00"", ""c_E"": ""3.16"", ""c_F"": ""7.62"", ""c_Fe"": ""0.10"", ""c_Fe_auto"": ""0.00"", ""c_Fe_proof"": ""0.00"", ""c_G"": ""6.19"", ""c_G1"": ""7.89"", ""c_H1"": ""8.70"", ""c_H2"": ""8.65"", ""c_L0"": ""0.00"", ""c_L1"": ""49.27"", ""c_L2"": ""53.36"", ""c_L3"": ""63.55"", ""c_N"": ""4.00"", ""c_P0"": ""0.00"", ""c_P1"": ""11.99"", ""c_P2"": ""11.24"", ""c_Q"": ""47.55"", ""c_R"": ""0.00"", ""c_R1"": ""12.04"", ""c_R2"": ""0.00"", ""c_R3"": ""0.00"", ""c_S"": ""67.37"", ""c_Z"": ""7.82"", ""c_alpha"": ""34.50"", ""c_alpha1"": ""71.42"", ""c_b_"": ""4.49"", ""c_delta"": ""0.00"", ""c_h_"": ""0.53"", ""c_i_"": ""1.37"", ""c_r1max"": ""1.27"", ""c_r2_"": ""3.05"", ""c_r_"": ""0.00"", ""c_s_"": ""0.00"", ""c_u_"": ""254.00"", ""c_w_"": ""0.00"", ""cby"": ""local_user"", ""cdate"": ""2020-12-27"", ""cipdate"": ""1984-06-14"", ""cipname"": "".30-06 Spring. HXP 77"", ""ciporigin"": ""US"", ""cippdf"": ""https://bobp.cip-bobp.org/uploads/tdcc/tab-i/tabical-en-page111.pdf"", ""ciprevdate"": ""2008-09-23"", ""ciptype"": ""1 rimless"", ""delta"": ""36.00"", ""descr"": """", ""f"": ""0.38"", ""mby"": ""local_user"", ""mdate"": """", ""mode"": ""userfile"", ""origin"": ""cip-bobp.org"", ""r1min"": ""1.27"", ""r2"": ""2.54"", ""sebert"": ""0.55"", ""standard"": ""User Meas."", ""status"": """", ""type"": """"}"
8,4,measurement,1,".30-06 Spring. HXP 77 (30-06 Springfield, 30-06, 7,62 x 63) Hornady, BTHP Natl M #30501, 0.308, 168.00 grain IMR 4166","{""charges"": [{""name"": ""168.00 grain"", ""shots"": [{""pressure"": 3614.8908349318885, ""velocity"": 814.7304000000058}, {""pressure"": 3500.0580821472554, ""velocity"": 815.3400000000058}, {""pressure"": 3560.0327309411027, ""velocity"": 818.6928000000058}, {""pressure"": 3452.8275743475133, ""velocity"": 815.6448000000058}, {""pressure"": 3565.6759827534934, ""velocity"": 816.8640000000058}], ""value"": 0.003175146589988}, {""name"": ""168.00 grain"", ""shots"": [{""pressure"": 4024.0980313676073, ""velocity"": 886.3584000000063}, {""pressure"": 3931.4330306260545, ""velocity"": 886.3584000000063}, {""pressure"": 4003.610746314165, ""velocity"": 890.6256000000063}, {""pressure"": 4134.198597609496, ""velocity"": 893.9784000000063}, {""pressure"": 3925.2937540275334, ""velocity"": 889.4064000000063}], ""value"": 0.003434342229987}], ""title"": ""Measurement MagnetoSpeed/PTII""}"
9,5,projectile,1,".30-06 Spring. HXP 77 (30-06 Springfield, 30-06, 7,62 x 63) PPU, PPB30MC150, 0.308, 150.00 grain IMR 4166","{""Dbul"": ""7.848599999999999"", ""ProjectileName"": ""PPU, PPB30MC150, 0.308, 150.00 grain"", ""g1bc"": ""0.4"", ""g7bc"": ""0"", ""gTailDiaA"": ""0"", ""gTailDiaB"": ""0"", ""gTailType"": ""0"", ""gUBCS"": """", ""gdepth"": ""7.36854"", ""gfriction"": ""0"", ""gfrictionUnlock"": ""false"", ""glen"": ""28.600399999999997"", ""gpressure"": ""250"", ""gtailh"": ""0"", ""lotid"": ""M2 BALL RESIZED"", ""mname"": ""PPU"", ""mode"": ""userfile"", ""mp"": ""9.719836499963112"", ""pname"": ""PPB30MC150""}"
10,5,propellant,1,".30-06 Spring. HXP 77 (30-06 Springfield, 30-06, 7,62 x 63) PPU, PPB30MC150, 0.308, 150.00 grain IMR 4166","{""Ba"": ""0.602"", ""Qex"": ""3860"", ""a0"": ""1.0792"", ""eta"": ""1"", ""imageUuid"": ""8b924457b20bbd8fa1a670f9974fca5a"", ""k"": ""1.2333"", ""laddercnt"": ""2"", ""laddermc"": ""0.259195639999016"", ""lotid"": ""2020-03-02"", ""mc"": ""3.563940049986474"", ""mname"": ""IMR"", ""pc"": ""1550"", ""pcd"": ""900"", ""pname"": ""4166"", ""pt"": ""12.777777777777777"", ""tcc"": ""0"", ""tch"": ""0"", ""z1"": ""0.2945"", ""z2"": ""0.7945""}"
