caliber_name,alt_name,standard_body,standard_label,pressure_method,max_pressure_psi,drawing_pdf_url,source,source_kind,evidence_level,user_defined,notes
22 Advanced Rifle Cartridge,22 ARC,SAAMI,SAAMI acceptance announcement,Transducer,52000,https://saami.org/saami-accepts-two-new-cartridges-22arc-22cm/,https://saami.org/technical-information/cartridge-chamber-drawings/,official_saami,official_announcement,0,"Offisiell SAAMI-akseptmelding publisert 7. februar 2024. Full dimensjonspakke må løftes fra intro package eller tegning."
22 Creedmoor,22 CM,SAAMI,SAAMI acceptance announcement,Transducer,62000,https://saami.org/saami-accepts-two-new-cartridges-22arc-22cm/,https://saami.org/technical-information/cartridge-chamber-drawings/,official_saami,official_announcement,0,"Offisiell SAAMI-akseptmelding publisert 7. februar 2024. Full dimensjonspakke må løftes fra intro package eller tegning."
277 SIG Fury,277 Fury,SAAMI,SAAMI acceptance announcement,Transducer,80000,https://saami.org/saami-announces-acceptance-of-three-new-cartridges/,https://saami.org/technical-information/cartridge-chamber-drawings/,official_saami,official_announcement,0,"Offisiell SAAMI-akseptmelding publisert 13. november 2020."
300 HAM'R,300 HAMR,SAAMI,SAAMI acceptance announcement,Transducer,57500,https://saami.org/saami-announces-acceptance-of-new-300-hamr-cartridge/,https://saami.org/technical-information/cartridge-chamber-drawings/,official_saami,official_announcement,0,"Offisiell SAAMI-akseptmelding publisert 7. februar 2020."
300 Norma Magnum,300 Norma Mag,SAAMI,SAAMI acceptance announcement,Transducer,61000,https://saami.org/saami-announces-acceptance-of-new-cartridges/,https://saami.org/technical-information/cartridge-chamber-drawings/,official_saami,official_announcement,0,"Offisiell SAAMI-akseptmelding publisert 22. februar 2021."
300 Precision Rifle Cartridge,300 PRC,SAAMI,SAAMI acceptance announcement,Transducer,65000,https://saami.org/saami-accepts-two-new-cartridges/,https://saami.org/technical-information/cartridge-chamber-drawings/,official_saami,official_announcement,0,"Offisiell SAAMI-akseptmelding publisert 10. august 2018."
338 Norma Magnum,338 Norma Mag,SAAMI,SAAMI acceptance announcement,Transducer,62500,https://saami.org/saami-announces-acceptance-of-new-cartridges/,https://saami.org/technical-information/cartridge-chamber-drawings/,official_saami,official_announcement,0,"Offisiell SAAMI-akseptmelding publisert 22. februar 2021."
338 Weatherby Rebated Precision Magnum,338 WBY RPM,SAAMI,SAAMI acceptance announcement,Transducer,65000,https://saami.org/saami-announces-acceptance-of-new-rifle-cartridges/,https://saami.org/technical-information/cartridge-chamber-drawings/,official_saami,official_announcement,0,"Offisiell SAAMI-akseptmelding publisert 2. februar 2022."
350 Legend,350 LGND,SAAMI,SAAMI acceptance announcement,Transducer,55000,https://saami.org/saami-announces-acceptance-of-the-350-legend-cartridge/,https://saami.org/technical-information/cartridge-chamber-drawings/,official_saami,official_announcement,0,"Offisiell SAAMI-akseptmelding publisert 31. januar 2019. MAP bekreftet i SAAMI drawing/standard."
6.5 Precision Rifle Cartridge,6.5 PRC,SAAMI,SAAMI acceptance announcement,Transducer,65000,https://saami.org/saami-accepts-two-new-cartridges/,https://saami.org/technical-information/cartridge-chamber-drawings/,official_saami,official_announcement,0,"Offisiell SAAMI-akseptmelding publisert 10. august 2018."
6.5-284 Norma,6.5-284 Norma,SAAMI,SAAMI acceptance announcement,Transducer,58000,https://saami.org/tag/rifle/,https://saami.org/technical-information/cartridge-chamber-drawings/,official_saami,official_announcement,0,"Offisiell SAAMI-akseptmelding publisert 20. november 2019. MAP 58,000 psi bekreftet i SAAMI 2025 transducer calibration table."
6.5 Weatherby Rebated Precision Magnum,6.5 WBY RPM,SAAMI,SAAMI acceptance announcement,Transducer,65000,https://saami.org/saami-announces-acceptance-of-three-new-cartridges/,https://saami.org/technical-information/cartridge-chamber-drawings/,official_saami,official_announcement,0,"Offisiell SAAMI-akseptmelding publisert 13. november 2020."
6.8 True Velocity Composite,6.8 TVC,SAAMI,SAAMI acceptance announcement,Transducer,65000,https://saami.org/saami-announces-acceptance-of-new-rifle-cartridges/,https://saami.org/technical-information/cartridge-chamber-drawings/,official_saami,official_announcement,0,"Offisiell SAAMI-akseptmelding publisert 2. februar 2022."
6.8 Western,6.8 WSTN,SAAMI,SAAMI acceptance announcement,Transducer,65000,https://saami.org/saami-announces-acceptance-of-three-new-cartridges/,https://saami.org/technical-information/cartridge-chamber-drawings/,official_saami,official_announcement,0,"Offisiell SAAMI-akseptmelding publisert 13. november 2020."
6mm GT,6 GT,SAAMI,SAAMI acceptance announcement,Transducer,62000,https://saami.org/saami-announces-acceptance-of-new-rifle-cartridges/,https://saami.org/technical-information/cartridge-chamber-drawings/,official_saami,official_announcement,0,"Offisiell SAAMI-akseptmelding publisert 2. februar 2022."
