source_id,path,file_name,file_type,sha256,size_bytes
1,C:\Users\bjjoh\OneDrive\Dokumenter\Programering\Hjemmelading\reference_data\plugins\ReferenceLab\com.reference.plugin.xml,com.reference.plugin.xml,component_xml,155bd2334f6c79937f13a65c44f11a2f2e808d4bea751116fa9526508e2466c4,4695
2,C:\Users\bjjoh\OneDrive\Dokumenter\Programering\Hjemmelading\reference_data\plugins\PressureTrace\com.reference.plugin.xml,com.reference.plugin.xml,component_xml,3057b94d273092dc69c4cfefd4cc0016291d3fe1a0a04a605e0dc534ca5cd0a9,4743
3,C:\Users\bjjoh\AppData\Roaming\ReferenceLibrary\projectile.xml,projectile.xml,component_xml,5677e8fab12e69c089474e2ac3d4baa78ec4a51d8bd4abbd28a0e9a877ef09ac,3430
4,c:\Users\bjjoh\OneDrive\Dokumenter\Programering\Hjemmelading\reference_data\doku\en\faq\files\30-06_168_hhpbt_imr4166_3.330_oal_2x2_1.load,30-06_168_hhpbt_imr4166_3.330_oal_2x2_1.load,load_snapshot,e60542b6a930898e28c12e714a1b9b7570e92b9f412996d54a30a0eb5db79998,345297
5,c:\Users\bjjoh\OneDrive\Dokumenter\Programering\Hjemmelading\reference_data\doku\en\faq\files\30-06_m2_ball_imr4166_3.330_oal_2x2_1.load,30-06_m2_ball_imr4166_3.330_oal_2x2_1.load,load_snapshot,d544aab6371da26f67d2e30e2de842ad7dffd2bd108027a3c0d71d1a931cc6e2,344252
6,c:\Users\bjjoh\OneDrive\Dokumenter\Programering\Hjemmelading\reference_data\doku\en\faq\files\6.5_cm_120_heldm_imr4166_2.80_oal_2x2_1.load,6.5_cm_120_heldm_imr4166_2.80_oal_2x2_1.load,load_snapshot,97224c69d301481eae1f3283725e1ac3b59d6a112a3c0f95707141d24e9044f2,12728
7,c:\Users\bjjoh\OneDrive\Dokumenter\Programering\Hjemmelading\reference_data\doku\en\faq\files\6.5_cm_140_hhpbt_imr4166_2.825_oal_2x2_1.load,6.5_cm_140_hhpbt_imr4166_2.825_oal_2x2_1.load,load_snapshot,56924cab362f195eb424a66b3225b956e035aa2da173843ca78144efd8a8e1da,12681
8,c:\Users\bjjoh\OneDrive\Dokumenter\Programering\Hjemmelading\reference_data\doku\en\faq\files\powder-measure-template.load,powder-measure-template.load,load_snapshot,1a35d9662ad741c660caf908b77a3fec099f9b2aed5a685614ebb3b8d50eabfb,12912
9,c:\Users\bjjoh\OneDrive\Dokumenter\Programering\Hjemmelading\reference_data\loads\POWDER-MEASURE-TEMPLATE Barens match.load,POWDER-MEASURE-TEMPLATE Barens match.load,load_snapshot,c34b50ed9c1b619c87b94f420264273de291fc2029c289a4e8d6550afa82c5a5,10192
10,c:\Users\bjjoh\OneDrive\Dokumenter\Programering\Hjemmelading\reference_data\loads\POWDER-MEASURE-TEMPLATE.load,POWDER-MEASURE-TEMPLATE.load,load_snapshot,5f8129bd512f80b37685c54bc681de24b6b4d0d2013897ce77c1f109a3aa2925,11999
11,c:\Users\bjjoh\OneDrive\Dokumenter\Programering\Hjemmelading\reference_data\plugins\ReferenceLab\media\MEASURE-TEMPLATE.load,MEASURE-TEMPLATE.load,load_snapshot,4a6c1af7f9b021f58e798236b3e71075f3c126aaf05c95c34e00861892f62b36,12654
12,c:\Users\bjjoh\OneDrive\Dokumenter\Programering\Hjemmelading\reference_data\POWDER-MEASURE-TEMPLATE Barens match.load,POWDER-MEASURE-TEMPLATE Barens match.load,load_snapshot,c34b50ed9c1b619c87b94f420264273de291fc2029c289a4e8d6550afa82c5a5,10192
13,c:\Users\bjjoh\OneDrive\Dokumenter\Programering\Hjemmelading\reference_data\POWDER-MEASURE-TEMPLATE.load,POWDER-MEASURE-TEMPLATE.load,load_snapshot,5f8129bd512f80b37685c54bc681de24b6b4d0d2013897ce77c1f109a3aa2925,11999



