id;manufacturer;name;display_name;caliber;weight_grains;diameter_mm;diameter_in;length_mm;length_source;recommended_twist;type;base_type;tip_type;shape_family;construction_type;inference_confidence;bc_g1;bc_g7;source;source_kind;source_label;external_id;notes
329;A-Square;MONO RN;A-Square MONO RN;.284;175.0;7.21;0.2839;25.4;profile_json;;;flat_base;hollow_or_tipped;round_nose;monolithic;medium;0.292;;reference_memory_import;reference_memory_dump;Internal reference seed;;Imported from internal reference seed.
311;A-Square;DeadTough;A-Square DeadTough;.308;180.0;7.82;0.3079;25.4;profile_json;;;;;hunting;;medium;0.249;;reference_memory_import;reference_memory_dump;Internal reference seed;;Imported from internal reference seed.
350;A-Square;MONO RN;A-Square MONO RN;.308;180.0;7.82;0.3079;26.2;profile_json;;;flat_base;hollow_or_tipped;round_nose;monolithic;medium;0.249;;reference_memory_import;reference_memory_dump;Internal reference seed;;Imported from internal reference seed.
330;A-Square;MONO RN;A-Square MONO RN;.308;220.0;7.82;0.3079;25.4;profile_json;;;flat_base;hollow_or_tipped;round_nose;monolithic;medium;0.297;;reference_memory_import;reference_memory_dump;Internal reference seed;;Imported from internal reference seed.
331;A-Square;MONO RN;A-Square MONO RN;.323;220.0;8.2;0.3228;25.4;profile_json;;;flat_base;hollow_or_tipped;round_nose;monolithic;medium;0.285;;reference_memory_import;reference_memory_dump;Internal reference seed;;Imported from internal reference seed.
294;A-Square;DeadTough;A-Square DeadTough;.338;250.0;8.59;0.3382;25.4;profile_json;;;;;hunting;;medium;0.3;;reference_memory_import;reference_memory_dump;Internal reference seed;;Imported from internal reference seed.
312;A-Square;LionLoad;A-Square LionLoad;.338;250.0;8.59;0.3382;25.4;profile_json;;;;;;;low;0.3;;reference_memory_import;reference_memory_dump;Internal reference seed;;Imported from internal reference seed.
332;A-Square;MONO RN;A-Square MONO RN;.338;250.0;8.59;0.3382;25.4;profile_json;;;flat_base;hollow_or_tipped;round_nose;monolithic;medium;0.3;;reference_memory_import;reference_memory_dump;Internal reference seed;;Imported from internal reference seed.
295;A-Square;DeadTough;A-Square DeadTough;.358;275.0;9.09;0.3579;25.4;profile_json;;;;;hunting;;medium;0.293;;reference_memory_import;reference_memory_dump;Internal reference seed;;Imported from internal reference seed.
313;A-Square;LionLoad;A-Square LionLoad;.358;275.0;9.09;0.3579;25.4;profile_json;;;;;;;low;0.293;;reference_memory_import;reference_memory_dump;Internal reference seed;;Imported from internal reference seed.
333;A-Square;MONO RN;A-Square MONO RN;.358;275.0;9.09;0.3579;25.4;profile_json;;;flat_base;hollow_or_tipped;round_nose;monolithic;medium;0.293;;reference_memory_import;reference_memory_dump;Internal reference seed;;Imported from internal reference seed.
296;A-Square;DeadTough;A-Square DeadTough;.366;286.0;9.3;0.3661;25.4;profile_json;;;;;hunting;;medium;0.279;;reference_memory_import;reference_memory_dump;Internal reference seed;;Imported from internal reference seed.
314;A-Square;LionLoad;A-Square LionLoad;.366;286.0;9.3;0.3661;25.4;profile_json;;;;;;;low;0.279;;reference_memory_import;reference_memory_dump;Internal reference seed;;Imported from internal reference seed.
334;A-Square;MONO RN;A-Square MONO RN;.366;286.0;9.3;0.3661;25.4;profile_json;;;flat_base;hollow_or_tipped;round_nose;monolithic;medium;0.279;;reference_memory_import;reference_memory_dump;Internal reference seed;;Imported from internal reference seed.
297;A-Square;DeadTough;A-Square DeadTough;.375;300.0;9.52;0.3748;25.4;profile_json;;;;;hunting;;medium;0.284;;reference_memory_import;reference_memory_dump;Internal reference seed;;Imported from internal reference seed.
