id;name;manufacturer;caliber;weight_grains;bc_g1;bc_g7;type;quantity;cost_per_unit;notes;bc_segments_json;source;source_version;external_id;external_ref;source_kind;evidence_level;display_name;source_label;profile_json;raw_json
329;MONO RN;A-Square;.284;175.0;0.292;;;0;;Imported from internal reference seed.;;reference_memory_import;reference_memory_import.v1;;reference_memory_dump|bullet|A-Square|MONO RN|.284|175.0;reference_memory_dump;memory_extracted;A-Square MONO RN;Internal reference seed;"{""diameter_mm"": 7.21, ""length_mm"": 25.4, ""tail_dia_a_mm"": null, ""tail_dia_b_mm"": null, ""tail_height_mm"": null, ""tail_type"": null, ""ubcs"": null}";"{""id"": null, ""mname"": ""A-Square"", ""pname"": ""MONO RN"", ""lotid"": """", ""caliber"": "".284"", ""gdia"": 7.21, ""glen"": 25.4, ""gmass"": 175, ""gpressure"": 250, ""gfriction"": 0, ""gtaildiaA"": 0, ""gtaildiaB"": 0, ""gtailh"": 0, ""gtailtype"": 0, ""gdepthmax"": 0, ""g1bc"": 0.292, ""g7bc"": 0, ""gUBCS"": """", ""cdate"": ""2021-10-08"", ""cby"": ""GRT"", ""mdate"": """", ""mby"": """", ""type"": """", ""mode"": ""0"", ""status"": """", ""origin"": """", ""descr"": """", ""imageUuid"": """", ""geloescht"": 0, ""rowid"": 36}"
311;DeadTough;A-Square;.308;180.0;0.249;;;0;;Imported from internal reference seed.;;reference_memory_import;reference_memory_import.v1;;reference_memory_dump|bullet|A-Square|DeadTough|.308|180.0;reference_memory_dump;memory_extracted;A-Square DeadTough;Internal reference seed;"{""diameter_mm"": 7.82, ""length_mm"": 25.4, ""tail_dia_a_mm"": null, ""tail_dia_b_mm"": null, ""tail_height_mm"": null, ""tail_type"": null, ""ubcs"": null}";"{""id"": null, ""mname"": ""A-Square"", ""pname"": ""DeadTough"", ""lotid"": """", ""caliber"": "".308"", ""gdia"": 7.82, ""glen"": 25.4, ""gmass"": 180, ""gpressure"": 250, ""gfriction"": 0, ""gtaildiaA"": 0, ""gtaildiaB"": 0, ""gtailh"": 0, ""gtailtype"": 0, ""gdepthmax"": 0, ""g1bc"": 0.249, ""g7bc"": 0, ""gUBCS"": """", ""cdate"": ""2021-10-08"", ""cby"": ""GRT"", ""mdate"": """", ""mby"": """", ""type"": """", ""mode"": ""0"", ""status"": """", ""origin"": """", ""descr"": """", ""imageUuid"": """", ""geloescht"": 0, ""rowid"": 18}"
350;MONO RN;A-Square;.308;180.0;0.249;;;0;;Imported from internal reference seed.;;reference_memory_import;reference_memory_import.v1;;reference_memory_dump|bullet|A-Square|MONO RN|.308|180.0;reference_memory_dump;memory_extracted;A-Square MONO RN;Internal reference seed;"{""diameter_mm"": 7.82, ""length_mm"": 26.2, ""tail_dia_a_mm"": null, ""tail_dia_b_mm"": null, ""tail_height_mm"": null, ""tail_type"": null, ""ubcs"": null}";"{""id"": null, ""mname"": ""A-Square"", ""pname"": ""MONO RN"", ""lotid"": """", ""caliber"": "".308"", ""gdia"": 7.82, ""glen"": 26.2, ""gmass"": 180, ""gpressure"": 270, ""gfriction"": 0, ""gtaildiaA"": 0, ""gtaildiaB"": 0, ""gtailh"": 0, ""gtailtype"": 0, ""gdepthmax"": 0, ""g1bc"": 0.249, ""g7bc"": 0, ""gUBCS"": """", ""cdate"": ""2021-10-08"", ""cby"": ""GRT"", ""mdate"": """", ""mby"": """", ""type"": """", ""mode"": ""0"", ""status"": """", ""origin"": """", ""descr"": """", ""imageUuid"": """", ""geloescht"": 0, ""rowid"": 57}"
330;MONO RN;A-Square;.308;220.0;0.297;;;0;;Imported from internal reference seed.;;reference_memory_import;reference_memory_import.v1;;reference_memory_dump|bullet|A-Square|MONO RN|.308|220.0;reference_memory_dump;memory_extracted;A-Square MONO RN;Internal reference seed;"{""diameter_mm"": 7.82, ""length_mm"": 25.4, ""tail_dia_a_mm"": null, ""tail_dia_b_mm"": null, ""tail_height_mm"": null, ""tail_type"": null, ""ubcs"": null}";"{""id"": null, ""mname"": ""A-Square"", ""pname"": ""MONO RN"", ""lotid"": """", ""caliber"": "".308"", ""gdia"": 7.82, ""glen"": 25.4, ""gmass"": 220, ""gpressure"": 250, ""gfriction"": 0, ""gtaildiaA"": 0, ""gtaildiaB"": 0, ""gtailh"": 0, ""gtailtype"": 0, ""gdepthmax"": 0, ""g1bc"": 0.297, ""g7bc"": 0, ""gUBCS"": """", ""cdate"": ""2021-10-08"", ""cby"": ""GRT"", ""mdate"": """", ""mby"": """", ""type"": """", ""mode"": ""0"", ""status"": """", ""origin"": """", ""descr"": """", ""imageUuid"": """", ""geloescht"": 0, ""rowid"": 37}"
331;MONO RN;A-Square;.323;220.0;0.285;;;0;;Imported from internal reference seed.;;reference_memory_import;reference_memory_import.v1;;reference_memory_dump|bullet|A-Square|MONO RN|.323|220.0;reference_memory_dump;memory_extracted;A-Square MONO RN;Internal reference seed;"{""diameter_mm"": 8.2, ""length_mm"": 25.4, ""tail_dia_a_mm"": null, ""tail_dia_b_mm"": null, ""tail_height_mm"": null, ""tail_type"": null, ""ubcs"": null}";"{""id"": null, ""mname"": ""A-Square"", ""pname"": ""MONO RN"", ""lotid"": """", ""caliber"": "".323"", ""gdia"": 8.2, ""glen"": 25.4, ""gmass"": 220, ""gpressure"": 250, ""gfriction"": 0, ""gtaildiaA"": 0, ""gtaildiaB"": 0, ""gtailh"": 0, ""gtailtype"": 0, ""gdepthmax"": 0, ""g1bc"": 0.285, ""g7bc"": 0, ""gUBCS"": """", ""cdate"": ""2021-10-08"", ""cby"": ""GRT"", ""mdate"": """", ""mby"": """", ""type"": """", ""mode"": ""0"", ""status"": """", ""origin"": """", ""descr"": """", ""imageUuid"": """", ""geloescht"": 0, ""rowid"": 38}"
294;DeadTough;A-Square;.338;250.0;0.3;;;0;;Imported from internal reference seed.;;reference_memory_import;reference_memory_import.v1;;reference_memory_dump|bullet|A-Square|DeadTough|.338|250.0;reference_memory_dump;memory_extracted;A-Square DeadTough;Internal reference seed;"{""diameter_mm"": 8.59, ""length_mm"": 25.4, ""tail_dia_a_mm"": null, ""tail_dia_b_mm"": null, ""tail_height_mm"": null, ""tail_type"": null, ""ubcs"": null}";"{""id"": null, ""mname"": ""A-Square"", ""pname"": ""DeadTough"", ""lotid"": """", ""caliber"": "".338"", ""gdia"": 8.59, ""glen"": 25.4, ""gmass"": 250, ""gpressure"": 250, ""gfriction"": 0, ""gtaildiaA"": 0, ""gtaildiaB"": 0, ""gtailh"": 0, ""gtailtype"": 0, ""gdepthmax"": 0, ""g1bc"": 0.3, ""g7bc"": 0, ""gUBCS"": """", ""cdate"": ""2021-10-08"", ""cby"": ""GRT"", ""mdate"": """", ""mby"": """", ""type"": """", ""mode"": ""0"", ""status"": """", ""origin"": """", ""descr"": """", ""imageUuid"": """", ""geloescht"": 0, ""rowid"": 1}"
312;LionLoad;A-Square;.338;250.0;0.3;;;0;;Imported from internal reference seed.;;reference_memory_import;reference_memory_import.v1;;reference_memory_dump|bullet|A-Square|LionLoad|.338|250.0;reference_memory_dump;memory_extracted;A-Square LionLoad;Internal reference seed;"{""diameter_mm"": 8.59, ""length_mm"": 25.4, ""tail_dia_a_mm"": null, ""tail_dia_b_mm"": null, ""tail_height_mm"": null, ""tail_type"": null, ""ubcs"": null}";"{""id"": null, ""mname"": ""A-Square"", ""pname"": ""LionLoad"", ""lotid"": """", ""caliber"": "".338"", ""gdia"": 8.59, ""glen"": 25.4, ""gmass"": 250, ""gpressure"": 250, ""gfriction"": 0, ""gtaildiaA"": 0, ""gtaildiaB"": 0, ""gtailh"": 0, ""gtailtype"": 0, ""gdepthmax"": 0, ""g1bc"": 0.3, ""g7bc"": 0, ""gUBCS"": """", ""cdate"": ""2021-10-08"", ""cby"": ""GRT"", ""mdate"": """", ""mby"": """", ""type"": """", ""mode"": ""0"", ""status"": """", ""origin"": """", ""descr"": """", ""imageUuid"": """", ""geloescht"": 0, ""rowid"": 19}"
332;MONO RN;A-Square;.338;250.0;0.3;;;0;;Imported from internal reference seed.;;reference_memory_import;reference_memory_import.v1;;reference_memory_dump|bullet|A-Square|MONO RN|.338|250.0;reference_memory_dump;memory_extracted;A-Square MONO RN;Internal reference seed;"{""diameter_mm"": 8.59, ""length_mm"": 25.4, ""tail_dia_a_mm"": null, ""tail_dia_b_mm"": null, ""tail_height_mm"": null, ""tail_type"": null, ""ubcs"": null}";"{""id"": null, ""mname"": ""A-Square"", ""pname"": ""MONO RN"", ""lotid"": """", ""caliber"": "".338"", ""gdia"": 8.59, ""glen"": 25.4, ""gmass"": 250, ""gpressure"": 250, ""gfriction"": 0, ""gtaildiaA"": 0, ""gtaildiaB"": 0, ""gtailh"": 0, ""gtailtype"": 0, ""gdepthmax"": 0, ""g1bc"": 0.3, ""g7bc"": 0, ""gUBCS"": """", ""cdate"": ""2021-10-08"", ""cby"": ""GRT"", ""mdate"": """", ""mby"": """", ""type"": """", ""mode"": ""0"", ""status"": """", ""origin"": """", ""descr"": """", ""imageUuid"": """", ""geloescht"": 0, ""rowid"": 39}"
295;DeadTough;A-Square;.358;275.0;0.293;;;0;;Imported from internal reference seed.;;reference_memory_import;reference_memory_import.v1;;reference_memory_dump|bullet|A-Square|DeadTough|.358|275.0;reference_memory_dump;memory_extracted;A-Square DeadTough;Internal reference seed;"{""diameter_mm"": 9.09, ""length_mm"": 25.4, ""tail_dia_a_mm"": null, ""tail_dia_b_mm"": null, ""tail_height_mm"": null, ""tail_type"": null, ""ubcs"": null}";"{""id"": null, ""mname"": ""A-Square"", ""pname"": ""DeadTough"", ""lotid"": """", ""caliber"": "".358"", ""gdia"": 9.09, ""glen"": 25.4, ""gmass"": 275, ""gpressure"": 250, ""gfriction"": 0, ""gtaildiaA"": 0, ""gtaildiaB"": 0, ""gtailh"": 0, ""gtailtype"": 0, ""gdepthmax"": 0, ""g1bc"": 0.293, ""g7bc"": 0, ""gUBCS"": """", ""cdate"": ""2021-10-08"", ""cby"": ""GRT"", ""mdate"": """", ""mby"": """", ""type"": """", ""mode"": ""0"", ""status"": """", ""origin"": """", ""descr"": """", ""imageUuid"": """", ""geloescht"": 0, ""rowid"": 2}"
313;LionLoad;A-Square;.358;275.0;0.293;;;0;;Imported from internal reference seed.;;reference_memory_import;reference_memory_import.v1;;reference_memory_dump|bullet|A-Square|LionLoad|.358|275.0;reference_memory_dump;memory_extracted;A-Square LionLoad;Internal reference seed;"{""diameter_mm"": 9.09, ""length_mm"": 25.4, ""tail_dia_a_mm"": null, ""tail_dia_b_mm"": null, ""tail_height_mm"": null, ""tail_type"": null, ""ubcs"": null}";"{""id"": null, ""mname"": ""A-Square"", ""pname"": ""LionLoad"", ""lotid"": """", ""caliber"": "".358"", ""gdia"": 9.09, ""glen"": 25.4, ""gmass"": 275, ""gpressure"": 250, ""gfriction"": 0, ""gtaildiaA"": 0, ""gtaildiaB"": 0, ""gtailh"": 0, ""gtailtype"": 0, ""gdepthmax"": 0, ""g1bc"": 0.293, ""g7bc"": 0, ""gUBCS"": """", ""cdate"": ""2021-10-08"", ""cby"": ""GRT"", ""mdate"": """", ""mby"": """", ""type"": """", ""mode"": ""0"", ""status"": """", ""origin"": """", ""descr"": """", ""imageUuid"": """", ""geloescht"": 0, ""rowid"": 20}"
