id;display_name;manufacturer;name;powder_type_normalized;grain_shape_normalized;burn_rate;relative_burn_rate;quickload_ba_value;qex_kj_per_kg;k_ratio;a0;z1;z2;eta_cm3_per_kg;pc_kg_m3;pcd_kg_m3;pt_c;density_gcc;grain_size_mm;temp_stable;temp_coefficient_fps_per_f;loading_density_optimal_percent;velocity_potential;optimal_bullet_weight_range;suitable_for_cartridges;usable_for_simulation;validation_status;lot_number;source_display;evidence_level;notes
47;ADI AR 2205;ADI;AR 2205;;;1.1582;1.1582;1.1582;3940.0;1.2021;1.0555;0.2382;0.752;1.0;1510.0;890.0;21.0;;;1;;;;;;1;memory_extracted;2020-04-30;Internal reference seed;memory_extracted;Imported from internal reference seed.
48;ADI AR 2206H;ADI;AR 2206H;;;0.5686;0.5686;0.5686;4020.0;1.2328;1.4893;0.4309;0.8236;1.0;1670.0;930.0;21.0;;;1;;;;;;1;memory_extracted;2020-04-14;Internal reference seed;memory_extracted;Imported from internal reference seed.
49;ADI AR 2208;ADI;AR 2208;;;0.6351;0.6351;0.6351;3920.0;1.2213;0.2577;0.4154;0.7283;1.0;1580.0;900.0;21.0;;;1;;;;;;1;memory_extracted;2021-10-08;Internal reference seed;memory_extracted;Imported from internal reference seed.
50;ADI AR 2209;ADI;AR 2209;;;0.4834;0.4834;0.4834;3900.0;1.2322;0.4255;0.5134;0.8036;1.0;1560.0;990.0;21.0;;;1;;;;;;1;memory_extracted;2020-03-30;Internal reference seed;memory_extracted;Imported from internal reference seed.
51;ADI AR 2213SC;ADI;AR 2213SC;;;0.4369;0.4369;0.4369;3850.0;1.2301;0.4014;0.5063;0.8091;1.0;1550.0;930.0;21.0;;;1;;;;;;1;memory_extracted;2020-04-14;Internal reference seed;memory_extracted;Imported from internal reference seed.
52;ADI AR 2217;ADI;AR 2217;;;0.3704;0.3704;0.3704;3780.0;1.2384;0.9494;0.6263;0.8344;1.0;1580.0;920.0;21.0;;;1;;;;;;1;memory_extracted;2020-04-14;Internal reference seed;memory_extracted;Imported from internal reference seed.
53;ADI AR 2219;ADI;AR 2219;;;0.7288;0.7288;0.7288;3720.0;1.2289;0.1177;0.4989;0.7672;1.0;1510.0;940.0;21.0;;;1;;;;;;1;memory_extracted;2020-02-04;Internal reference seed;memory_extracted;Imported from internal reference seed.
54;ADI BM 2;ADI;BM 2;;;0.7182;0.7182;0.7182;3670.0;1.2267;0.5755;0.3942;0.8071;1.0;1540.0;980.0;21.0;;;1;;;;;;1;memory_extracted;2020-04-30;Internal reference seed;memory_extracted;Imported from internal reference seed.
55;ADI BM 8208;ADI;BM 8208;;;0.6805;0.6805;0.6805;3720.0;1.2511;0.1451;0.4997;0.8273;1.0;1680.0;920.0;21.0;;;1;;;;;;1;memory_extracted;2021-02-DEV-1;Internal reference seed;memory_extracted;Imported from internal reference seed.
28;Accurate 1680;Accurate;1680;;;0.8731;0.8731;0.8731;3900.0;1.2235;0.1172;0.3115;0.7087;1.0;1550.0;1046.0;21.0;;;1;;;;;;1;memory_extracted;2020-12-12;Internal reference seed;memory_extracted;Imported from internal reference seed.
