id;name;manufacturer;type;size;quantity;cost_per_unit;notes;product_line;part_number;source_kind;manufacturer_source;match_grade;magnum;ar_variant;nominal_diameter_in;used_for;box_count;case_count;composition_class;non_corrosive;lead_free;temperature_claim;primer_family;cup_thickness_in;cup_hardness_class;pressure_tolerance_class;ignition_strength_class;recommended_pressure_min_psi;recommended_pressure_max_psi;cold_weather_suitability;primer_sign_interpretation;evidence_level;reference_source;display_name;match_grade_label;magnum_label;ar_variant_label;non_corrosive_label;lead_free_label;primer_flags
5;400;CCI;Standard;Small Rifle;0;;General purpose;;;;;0;0;0;;;;;;1;0;;small_rifle_military;;hard;high;standard;38000.0;65000.0;standard;;;;CCI 400;nei;nei;nei;ja;nei;
20;41;CCI;Military;Small Rifle;0;;Harder cup for semi-auto rifles;;;;;0;0;0;;;;;;1;0;;small_rifle_magnum;;hard;high;magnum;38000.0;65000.0;standard;;;;CCI 41;nei;nei;nei;ja;nei;
4;450;CCI;Magnum;Small Rifle;0;;For ball powders and magnums;;;;;0;0;0;;;;;;1;0;;small_rifle_magnum;;hard;high;magnum;38000.0;65000.0;good;;;;CCI 450;nei;nei;nei;ja;nei;
3;BR-2;CCI;Benchrest;Large Rifle;0;;Most popular match primer;;;;;0;0;0;;;;;;1;0;;large_rifle_benchrest;;hard;high;standard_plus;42000.0;65000.0;moderate;;;;CCI BR-2;nei;nei;nei;ja;nei;
21;BR-4;CCI;Small Rifle Benchrest;small rifle;0;;Seedet primerprofil for referanse og simulering.;CCI Primers;19;manufacturer_published+reference_inferred;CCI catalog;1;0;0;0.175;Small rifle benchrest / precision reloading;100;;;1;0;;small_rifle_benchrest;0.025;hard;high;standard_plus;50000.0;62000.0;good;late_signs_possible;reference_seed;Calhoon small-rifle pressure notes;CCI BR-4;ja;nei;nei;ja;nei;match
2;CCI BR2;CCI;Small Rifle;SR;500;;Demo primers;;;;;0;0;0;;;;;;1;0;;;;;;;;;;;;;CCI CCI BR2;nei;nei;nei;ja;nei;
22;205;Federal;Small Rifle;small rifle;0;;Seedet primerprofil for referanse og simulering.;Federal Champion;100;manufacturer_published+reference_inferred;Federal catalog;0;0;0;0.1755;Small rifle reloading;100;;;1;0;;small_rifle;0.022;medium;high;standard;50000.0;62000.0;good;normal;reference_seed;Calhoon small-rifle pressure notes;Federal 205;nei;nei;nei;ja;nei;
8;205M;Federal;Match;Small Rifle;0;;AR-15 match primer;;;;;0;0;0;;;;;;1;0;;small_rifle_match;;hard;high;standard_plus;38000.0;65000.0;moderate;;;;Federal 205M;nei;nei;nei;ja;nei;
6;210M;Federal;Match;Large Rifle;0;;Gold Medal Match primer;;;;;0;0;0;;;;;;1;0;;large_rifle_match;;hard;high;standard_plus;42000.0;65000.0;moderate;;;;Federal 210M;nei;nei;nei;ja;nei;
7;215M;Federal;Match Magnum;Large Rifle;0;;For slow powders;;;;;0;0;0;;;;;;1;0;;large_rifle_match;;hard;high;magnum;42000.0;65000.0;good;;;;Federal 215M;nei;nei;nei;ja;nei;
